"","X17.AAG","GSK.1904529A","Bosutinib","RDEA119","Nutlin.3a","PD.0325901","Epothilone.B"
"180",-2.719864,3.757997,2.906452,3.991414,4.305549,2.294441,-4.700262
"181",3.769097,5.063892,2.551101,5.344381,5.558644,2.675696,-5.488052
"182",-5.278779,0.557008,1.682097,6.381677,4.971189,2.662952,-7.991623
"183",0.704812,4.465357,4.647248,5.434829,4.045707,1.42261,-4.625125
"184",-0.635417,4.960599,0.99925,-2.661096,4.663715,-5.216697,-5.298012
"185",2.55112,2.099907,2.935615,3.903934,5.225826,-0.239191,-9.401425
"186",-3.153172,3.296782,0.641193,0.111981,5.902057,-2.098892,-1.192377
"187",-3.213756,3.436618,0.234037,-0.526315,4.693841,-3.368895,-6.403321
"188",-2.242555,4.204561,2.874003,0.258777,6.052882,-4.26243,-6.86486
"189",0.673451,3.576634,1.571485,-0.380878,5.286812,-0.55253,-2.391536
"190",-0.875111,4.179068,1.456615,2.965183,4.218427,-0.320501,-8.444085
"191",-1.548145,4.362347,3.359645,0.018514,5.27827,-2.078817,-3.863981
"192",-1.077256,4.693492,1.170103,1.73433,6.453504,-0.351317,-7.922481
"193",-4.679092,1.055013,0.11139,-1.180755,4.938455,-2.005339,-7.148255
"194",3.298806,4.449559,4.530658,6.299615,5.850661,3.279056,-3.888592
"195",0.582761,2.254996,4.08472,3.620931,2.774785,1.346404,-3.365253
"196",-1.775702,3.701465,0.49689,1.72859,5.814818,0.223453,-3.852117
"197",-3.001368,4.270584,3.956115,-3.01647,0.972962,-4.713415,-6.365556
"198",-3.417676,3.517074,1.52723,-2.429595,6.511413,-5.007599,-7.602359
"199",-0.729451,4.617131,4.486602,1.795684,6.626179,-0.678267,-4.201839
"200",1.57804,3.485285,4.405681,0.889157,7.127733,-1.788292,-3.157344
"201",-1.327796,3.61092,0.819003,-2.103421,5.067042,-5.133762,-5.82895
"202",0.510373,2.953097,3.200434,0.498831,-0.917007,-0.167746,-8.022323
"203",-2.629981,4.887754,2.880034,0.564698,7.060382,-4.359356,-2.159775
"204",-1.130635,3.516432,1.319558,-0.099594,4.546448,-1.340628,-5.948725
"205",1.276518,3.060282,4.11516,0.387026,6.293731,-0.327939,-4.94609
"206",-0.562492,3.16508,3.032668,4.925076,6.509922,3.15875,-0.856299
"207",-2.578485,4.89044,2.490439,3.606679,4.734922,1.428955,0.352971
"208",-1.244487,3.718299,1.30251,-0.446671,6.392886,-3.577032,-5.569759
"209",-1.55638,4.940087,1.12301,-1.064579,6.372215,-3.971092,-5.976984
"210",3.146274,3.999919,4.687544,1.433026,6.660114,-2.613528,-7.841948
"211",-0.235181,3.804659,5.374821,1.611392,2.641533,-1.064021,-7.05468
"212",3.223695,2.128253,3.951861,2.192944,3.868606,0.910451,-2.338647
"213",4.965424,5.175036,3.780366,6.213489,3.775832,3.392832,-4.655882
"214",-2.583548,3.660022,-0.299569,-3.66254,6.092409,-4.571128,-3.812645
"215",-7.805553,4.323277,2.462309,0.638058,5.748216,-0.365459,-5.50569
"216",3.52795,4.012258,4.77418,4.385253,1.484807,0.34897,-2.906846
"217",0.586446,3.848718,4.748038,3.996536,6.011837,2.36446,-5.055523
"218",3.92065,4.681749,2.002842,4.049969,6.57,1.91787,-4.957217
"219",1.275315,4.372399,-1.039659,3.80266,3.419937,1.044166,-4.306588
"220",-1.299564,3.587551,3.038494,5.396616,5.503518,2.641403,-6.564013
"221",3.19168,4.946486,1.531695,5.572575,2.754966,0.465664,0.198423
"222",-1.676369,2.722481,2.788091,5.403497,2.673828,3.117463,-5.295591
"223",0.06982,5.307131,0.300606,3.907305,2.142291,1.405493,1.113812
"224",-0.978383,5.49225,-0.382126,2.459095,0.683164,0.337204,1.667749
"225",2.749562,5.531407,3.725466,5.922388,5.66915,3.432311,-4.852938
"226",0.216009,4.213081,4.532495,1.983094,3.39986,-0.537449,-5.746356
"227",-0.338156,5.233972,0.405781,4.387845,4.914623,-0.011229,-1.770141
"228",0.339348,5.431104,5.194563,4.742393,5.861412,2.054327,-4.543852
"229",1.941006,5.188516,0.264558,3.367057,4.634129,2.505241,-5.14673
"230",2.50088,4.904864,-1.290499,4.042239,3.909067,3.001398,-6.258436
"231",1.808159,4.015122,3.018957,1.030926,1.126538,-0.021962,-7.390209
"232",-1.405329,3.565858,3.188085,0.988809,6.751587,-0.061582,-3.361236
"233",0.937665,4.654437,4.537526,5.988803,3.437726,2.804572,-4.703768
"234",-3.098972,2.85384,3.987434,1.683557,4.269988,-1.588109,-6.103142
"235",2.430752,3.26372,0.80503,-3.763823,4.596323,-5.835556,-2.962258
"236",0.264635,3.121529,5.486942,3.632342,6.064526,2.189437,-5.543
"237",-1.69314,2.280942,3.697849,0.879918,1.911754,0.9432,-2.474017
"238",-1.72966,4.000981,0.275927,0.516517,6.20135,-0.916036,-5.866593
"239",-3.046416,3.989846,4.504059,3.529035,5.0478,0.502614,-7.290718
"240",1.369849,4.980448,5.440557,5.035116,5.802759,1.607245,-2.664426
"241",-4.301363,4.03112,1.821307,0.232065,1.104007,-1.001262,-6.342775
"242",2.942375,4.245439,1.969174,-1.005325,6.729783,-1.32743,0.469078
"243",0.31364,3.977988,4.681639,2.463005,6.650087,-0.057044,-5.107117
"244",-0.278812,5.584263,1.83639,-1.485375,5.854333,-3.297955,-0.227942
"245",2.815397,3.977912,-0.156785,1.378365,6.781391,-0.305331,-6.704284
"246",-2.949717,4.299974,2.545174,1.22452,4.587763,-0.319222,-7.603106
"247",-1.466026,3.606052,1.864068,5.243156,4.733083,2.41817,-7.7176
"248",-3.288769,4.617931,-0.437949,0.524415,4.973321,-2.256142,-6.884841
"249",2.171216,3.036619,1.224156,1.960694,6.767759,1.03473,-8.226933
"250",-3.068583,1.766947,4.403065,4.036873,6.223913,-1.290819,-9.514302
"251",-1.703776,4.644351,1.410497,1.085772,5.801956,-1.442424,-4.562264
"252",-1.100126,4.20852,3.278342,4.704322,4.999021,1.135244,-4.882045
"253",-0.473964,3.409173,0.640407,3.982215,4.165853,1.19851,-5.136297
"254",4.80399,5.223524,1.794317,6.154629,6.437645,3.53599,-3.073783
"255",1.869986,5.245724,0.150808,5.554863,1.080869,1.560798,-4.534999
"256",-0.177527,4.84362,-1.704573,-1.624252,3.403499,-3.785343,-3.969522
"257",2.737052,2.274171,5.609573,-0.651316,2.484305,-2.093607,-1.061088
"258",-2.938232,3.128552,0.213378,0.088293,6.612451,-2.819227,-6.215573
"259",-2.297203,3.268912,-0.621427,1.193413,1.296664,-2.725379,-5.194244
"260",-1.355686,4.831963,4.063942,-2.55732,3.498921,-4.498164,-4.03918
"261",1.467989,4.585132,5.559434,0.770921,3.872876,-2.815294,-4.010175
"262",0.791156,3.31851,-0.185079,5.191563,6.724389,3.649991,-4.772595
"263",-1.974524,3.006381,4.063633,2.550906,6.757354,2.172523,-5.110294
"264",4.945649,2.492784,4.114322,3.74748,2.117682,2.3063,-4.362211
"265",3.212651,4.411326,4.693243,5.04253,4.934042,2.429592,-8.080213
"266",-2.438577,4.147467,3.342021,-1.277038,6.516764,-2.086211,-7.719496
"267",-1.698125,3.794061,4.08099,4.553832,7.035215,2.897177,-5.327672
"268",-0.87497,4.103172,5.094906,3.676503,6.064008,2.426576,-1.993383
"269",-0.223094,2.557331,4.990511,6.018173,0.971983,3.195671,-5.458863
"270",2.109225,4.926527,3.688703,4.145484,3.453009,2.858642,-5.438485
"271",-4.205671,-0.448407,-0.099335,-0.741136,1.349824,-3.234287,-0.958281
"272",1.690662,4.659954,5.26901,0.482046,5.610165,-1.646285,-6.999852
"273",0.32998,2.167236,5.335619,0.918715,5.681275,-0.586097,-6.94834
"274",-0.765134,3.188817,4.240418,-0.909171,6.646388,-1.081812,-3.745655
"275",-1.428748,4.184317,5.109664,-0.882391,1.915489,-2.164296,-3.412774
"276",-1.949978,3.378463,4.776874,5.377762,6.585477,3.302483,-4.150678
"277",-1.095474,3.190467,4.828631,5.613883,6.773251,2.188138,-9.497984
"278",4.836235,0.728237,5.349463,6.341059,6.865668,3.053533,-3.862535
"279",-2.77464,4.532603,4.333972,1.376101,3.555369,1.650874,-5.234571
"280",-3.995533,3.97117,1.21579,0.728141,5.235238,-1.67646,-8.39113
"281",1.640686,4.46299,0.681474,-0.925704,1.794462,-2.728907,-6.294138
"282",-2.404909,3.524887,5.304668,3.503704,6.073311,2.747911,-6.617696
"283",-2.536719,3.908521,1.50139,-3.554226,6.489642,-6.53754,-3.288034
"284",0.353264,3.275819,4.034456,4.073741,4.609527,2.25458,-5.7905
